=== Hoogland et al. Replication (self-contained) ===
2L attn-only, d=256, 8 heads, softmax, no QK norm
Data: DSIR-filtered Pile (streaming), GPT-2 tokenizer, vocab=5000
Batch: 64, n_ctx: 1024, tokens/step: 65,536
Max steps: 76,293 (5.0B tokens)
Pile val cache exists at /workspace/tensor-mars/workspaces/logan/cached_tokens/dsir_pile_val.pt
Model parameters: 3,086,848 (compiled)
Induction test: 100 seqs, half_len=512, vocab=5000
Token indices sequence length is longer than the specified maximum sequence length for this model (1287 > 1024). Running this sequence through the model will result in indexing errors
  step 11600/76293  loss=5.2792  tokens=0.760B  elapsed=1557s
  step 11700/76293  loss=5.1931  tokens=0.767B  elapsed=1568s
  step 11800/76293  loss=5.2700  tokens=0.773B  elapsed=1579s
  step 11900/76293  loss=5.3271  tokens=0.780B  elapsed=1589s
  step 12000/76293  loss=5.2929  tokens=0.786B  elapsed=1602s
  step 12100/76293  loss=5.2777  tokens=0.793B  elapsed=1615s
  step 12200/76293  loss=5.3036  tokens=0.800B  elapsed=1629s
  step 12300/76293  loss=5.5575  tokens=0.806B  elapsed=1641s
  step 12400/76293  loss=5.2943  tokens=0.813B  elapsed=1654s
  step 12500/76293  loss=5.2567  tokens=0.819B  elapsed=1668s

  [step 12500, 0.82B tokens] induction_score=-0.0079 1st=10.0764 2nd=10.0842 toy_acc=0.000196 (0.0196%)
  step 12600/76293  loss=5.1585  tokens=0.826B  elapsed=1679s
  step 12700/76293  loss=5.2252  tokens=0.832B  elapsed=1691s
  step 12800/76293  loss=5.1939  tokens=0.839B  elapsed=1704s
  step 12900/76293  loss=5.1430  tokens=0.845B  elapsed=1717s
  step 13000/76293  loss=5.3344  tokens=0.852B  elapsed=1728s
  step 13100/76293  loss=5.2892  tokens=0.859B  elapsed=1739s
  step 13200/76293  loss=5.2531  tokens=0.865B  elapsed=1750s
  step 13300/76293  loss=5.3023  tokens=0.872B  elapsed=1763s
  step 13400/76293  loss=5.2501  tokens=0.878B  elapsed=1775s
  step 13500/76293  loss=5.2117  tokens=0.885B  elapsed=1787s
  step 13600/76293  loss=5.3254  tokens=0.891B  elapsed=1800s
  step 13700/76293  loss=5.2386  tokens=0.898B  elapsed=1812s
  step 13800/76293  loss=5.1795  tokens=0.904B  elapsed=1826s
  step 13900/76293  loss=5.2260  tokens=0.911B  elapsed=1840s
  step 14000/76293  loss=5.2229  tokens=0.918B  elapsed=1853s
  step 14100/76293  loss=5.2322  tokens=0.924B  elapsed=1866s
  step 14200/76293  loss=5.2420  tokens=0.931B  elapsed=1880s
  step 14300/76293  loss=5.2052  tokens=0.937B  elapsed=1892s
  step 14400/76293  loss=5.2560  tokens=0.944B  elapsed=1903s
  step 14500/76293  loss=5.3062  tokens=0.950B  elapsed=1916s
  step 14600/76293  loss=5.1933  tokens=0.957B  elapsed=1928s
  step 14700/76293  loss=5.1742  tokens=0.963B  elapsed=1940s
  step 14800/76293  loss=5.2857  tokens=0.970B  elapsed=1952s
  step 14900/76293  loss=5.2320  tokens=0.976B  elapsed=1964s
  step 15000/76293  loss=5.2142  tokens=0.983B  elapsed=1978s

  [step 15000, 0.98B tokens] induction_score=-0.0063 1st=9.9847 2nd=9.9910 toy_acc=0.000215 (0.0215%)
  step 15100/76293  loss=5.2569  tokens=0.990B  elapsed=1990s
  step 15200/76293  loss=5.2318  tokens=0.996B  elapsed=2002s
  step 15300/76293  loss=5.2812  tokens=1.003B  elapsed=2015s
  step 15400/76293  loss=5.2178  tokens=1.009B  elapsed=2029s
  step 15500/76293  loss=5.2640  tokens=1.016B  elapsed=2042s
  step 15600/76293  loss=5.2135  tokens=1.022B  elapsed=2056s
  step 15700/76293  loss=5.3307  tokens=1.029B  elapsed=2067s
  step 15800/76293  loss=5.1611  tokens=1.035B  elapsed=2080s
  step 15900/76293  loss=5.2397  tokens=1.042B  elapsed=2093s
  step 16000/76293  loss=5.2992  tokens=1.049B  elapsed=2106s
  step 16100/76293  loss=5.1847  tokens=1.055B  elapsed=2120s
  step 16200/76293  loss=5.2630  tokens=1.062B  elapsed=2133s
  step 16300/76293  loss=5.2602  tokens=1.068B  elapsed=2144s
  step 16400/76293  loss=5.1528  tokens=1.075B  elapsed=2157s
  step 16500/76293  loss=5.2442  tokens=1.081B  elapsed=2168s
  step 16600/76293  loss=5.2036  tokens=1.088B  elapsed=2182s
  step 16700/76293  loss=5.2708  tokens=1.094B  elapsed=2195s
  step 16800/76293  loss=5.2319  tokens=1.101B  elapsed=2210s
  step 16900/76293  loss=5.2744  tokens=1.108B  elapsed=2221s
  step 17000/76293  loss=5.2349  tokens=1.114B  elapsed=2235s
  step 17100/76293  loss=5.1866  tokens=1.121B  elapsed=2248s
  step 17200/76293  loss=5.1927  tokens=1.127B  elapsed=2260s
  step 17300/76293  loss=5.2133  tokens=1.134B  elapsed=2275s
  step 17400/76293  loss=5.1248  tokens=1.140B  elapsed=2288s
  step 17500/76293  loss=5.1542  tokens=1.147B  elapsed=2302s

  [step 17500, 1.15B tokens] induction_score=-0.0080 1st=10.0030 2nd=10.0110 toy_acc=0.000176 (0.0176%)
  step 17600/76293  loss=5.1412  tokens=1.153B  elapsed=2315s
  step 17700/76293  loss=5.2907  tokens=1.160B  elapsed=2328s
  step 17800/76293  loss=5.2039  tokens=1.167B  elapsed=2342s
  step 17900/76293  loss=5.2628  tokens=1.173B  elapsed=2356s
