=== Hoogland Variant: ctx=512, d=512 (wider + shorter) ===
2L attn-only, d=512, 16 heads (d_head=32), softmax, no QK norm
Data: DSIR-filtered Pile (streaming), GPT-2 tokenizer, vocab=5000
Batch: 96, n_ctx: 512, tokens/step: 49,152
Max steps: 101,725 (5.0B tokens)
Pile val cache exists at /workspace/tensor-mars/workspaces/logan/cached_tokens/dsir_pile_val_ctx512.pt
Model parameters: 7,222,272 (compiled)
Induction test: 100 seqs, half_len=256, vocab=5000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Token indices sequence length is longer than the specified maximum sequence length for this model (1287 > 1024). Running this sequence through the model will result in indexing errors
  step 13100/101725  loss=5.0603  tokens=0.644B  elapsed=1351s
  step 13200/101725  loss=5.0703  tokens=0.649B  elapsed=1361s
  step 13300/101725  loss=5.1167  tokens=0.654B  elapsed=1370s
  step 13400/101725  loss=5.1352  tokens=0.659B  elapsed=1378s
  step 13500/101725  loss=4.9132  tokens=0.664B  elapsed=1389s
  step 13600/101725  loss=5.0938  tokens=0.668B  elapsed=1399s
  step 13700/101725  loss=5.1056  tokens=0.673B  elapsed=1408s
  step 13800/101725  loss=5.2195  tokens=0.678B  elapsed=1418s
  step 13900/101725  loss=5.0994  tokens=0.683B  elapsed=1427s
  step 14000/101725  loss=5.0982  tokens=0.688B  elapsed=1435s
  step 14100/101725  loss=5.1293  tokens=0.693B  elapsed=1442s
  step 14200/101725  loss=5.2037  tokens=0.698B  elapsed=1451s
  step 14300/101725  loss=5.0796  tokens=0.703B  elapsed=1462s
  step 14400/101725  loss=5.1308  tokens=0.708B  elapsed=1470s
  step 14500/101725  loss=5.0978  tokens=0.713B  elapsed=1480s
  step 14600/101725  loss=5.1969  tokens=0.718B  elapsed=1489s
  step 14700/101725  loss=5.1350  tokens=0.723B  elapsed=1499s
  step 14800/101725  loss=5.0771  tokens=0.727B  elapsed=1509s
  step 14900/101725  loss=5.0548  tokens=0.732B  elapsed=1516s
  step 15000/101725  loss=5.0162  tokens=0.737B  elapsed=1526s

  [step 15000, 0.74B tokens] induction_score=-0.0145 1st=10.3462 2nd=10.3608 toy_acc=0.000235 (0.0235%)
  step 15100/101725  loss=5.0709  tokens=0.742B  elapsed=1534s
  step 15200/101725  loss=5.1606  tokens=0.747B  elapsed=1545s
  step 15300/101725  loss=5.0909  tokens=0.752B  elapsed=1555s
  step 15400/101725  loss=5.1035  tokens=0.757B  elapsed=1565s
  step 15500/101725  loss=5.0658  tokens=0.762B  elapsed=1574s
  step 15600/101725  loss=5.0251  tokens=0.767B  elapsed=1584s
  step 15700/101725  loss=4.9793  tokens=0.772B  elapsed=1593s
  step 15800/101725  loss=5.0076  tokens=0.777B  elapsed=1603s
  step 15900/101725  loss=5.1203  tokens=0.782B  elapsed=1613s
  step 16000/101725  loss=5.0994  tokens=0.786B  elapsed=1622s
  step 16100/101725  loss=5.1257  tokens=0.791B  elapsed=1632s
  step 16200/101725  loss=5.1337  tokens=0.796B  elapsed=1641s
  step 16300/101725  loss=4.9809  tokens=0.801B  elapsed=1650s
  step 16400/101725  loss=5.3256  tokens=0.806B  elapsed=1658s
  step 16500/101725  loss=5.0994  tokens=0.811B  elapsed=1666s
  step 16600/101725  loss=4.9614  tokens=0.816B  elapsed=1675s
  step 16700/101725  loss=4.9354  tokens=0.821B  elapsed=1686s
  step 16800/101725  loss=4.9657  tokens=0.826B  elapsed=1695s
  step 16900/101725  loss=5.2729  tokens=0.831B  elapsed=1702s
  step 17000/101725  loss=5.0781  tokens=0.836B  elapsed=1712s
  step 17100/101725  loss=4.9553  tokens=0.840B  elapsed=1723s
  step 17200/101725  loss=4.9650  tokens=0.845B  elapsed=1732s
  step 17300/101725  loss=4.9534  tokens=0.850B  elapsed=1742s
  step 17400/101725  loss=5.2788  tokens=0.855B  elapsed=1752s
  step 17500/101725  loss=5.1035  tokens=0.860B  elapsed=1763s

